word,link
k,https://www.dictionary.com/browse/k
k meson,https://www.dictionary.com/browse/k--meson
k particle,https://www.dictionary.com/browse/k-particle
k ration,https://www.dictionary.com/browse/k-ration
k selection,https://www.dictionary.com/browse/k-selection
k star,https://www.dictionary.com/browse/k-star
k'ai shu,https://www.dictionary.com/browse/k-ai-shu
k'ang hsi,https://www.dictionary.com/browse/k-ang-hsi
k'ang te,https://www.dictionary.com/browse/k-ang-te
k'ang yu-wei,https://www.dictionary.com/browse/k-ang-yu-wei
k'ung ch'iu,https://www.dictionary.com/browse/k-ung-ch-iu
k'ung fu-tse,https://www.dictionary.com/browse/k-ung-fu-tse
k'ung fu-tzu,https://www.dictionary.com/browse/k-ung-fu-tzu
k-line,https://www.dictionary.com/browse/k-line
k-meson,https://www.dictionary.com/browse/k-meson
k-pop,https://www.dictionary.com/browse/k-pop
k-radiation,https://www.dictionary.com/browse/k-radiation
k-selected,https://www.dictionary.com/browse/k-selected
k-series,https://www.dictionary.com/browse/k-series
k-shell,https://www.dictionary.com/browse/k-shell
k-truss,https://www.dictionary.com/browse/k-truss
k.,https://www.dictionary.com/browse/k-
k. of c.,https://www.dictionary.com/browse/k--of-c-
k. of p.,https://www.dictionary.com/browse/k--of-p-
k.b.,https://www.dictionary.com/browse/k-b-
k.b.e.,https://www.dictionary.com/browse/k-b-e-
k.c.,https://www.dictionary.com/browse/k-c-
k.c.b.,https://www.dictionary.com/browse/k-c-b-
k.c.m.g.,https://www.dictionary.com/browse/k-c-m-g-
k.c.s.i.,https://www.dictionary.com/browse/k-c-s-i-
k.c.v.o.,https://www.dictionary.com/browse/k-c-v-o-
k.g.,https://www.dictionary.com/browse/k-g-
k.j.v.,https://www.dictionary.com/browse/k-j-v-
k.k.k.,https://www.dictionary.com/browse/k-k-k-
k.p.,https://www.dictionary.com/browse/k-p-
k.t.,https://www.dictionary.com/browse/k-t-
k.v.,https://www.dictionary.com/browse/k-v-
k/t boundary,https://www.dictionary.com/browse/k-t-boundary
k2,https://www.dictionary.com/browse/k2
ka,https://www.dictionary.com/browse/ka
ka pai,https://www.dictionary.com/browse/ka-pai
ka'bah,https://www.dictionary.com/browse/ka-bah
ka-,https://www.dictionary.com/browse/ka-
ka-boom,https://www.dictionary.com/browse/ka-boom
ka`ba,https://www.dictionary.com/browse/ka-ba
