word,link
x,https://www.dictionary.com/browse/x
x chromosome,https://www.dictionary.com/browse/x--chromosome
x marks the spot,https://www.dictionary.com/browse/x-marks-the-spot
x out,https://www.dictionary.com/browse/x--out
x pr,https://www.dictionary.com/browse/x-pr
x'd,https://www.dictionary.com/browse/x-d
x-axis,https://www.dictionary.com/browse/x-axis
x-c,https://www.dictionary.com/browse/x-c
x-chromosome,https://www.dictionary.com/browse/x-chromosome
x-disease,https://www.dictionary.com/browse/x-disease
x-ed,https://www.dictionary.com/browse/x-ed
x-height,https://www.dictionary.com/browse/x-height
x-inactivation,https://www.dictionary.com/browse/x-inactivation
x-irradiate,https://www.dictionary.com/browse/x-irradiate
x-line,https://www.dictionary.com/browse/x-line
x-linked,https://www.dictionary.com/browse/x-linked
x-linked gene,https://www.dictionary.com/browse/x-linked-gene
x-linked hypogammaglobulinemia,https://www.dictionary.com/browse/x-linked-hypogammaglobulinemia
x-linked hypophosphatemic osteomalacia,https://www.dictionary.com/browse/x-linked-hypophosphatemic-osteomalacia
x-radiate,https://www.dictionary.com/browse/x-radiate
x-radiation,https://www.dictionary.com/browse/x-radiation
x-rated,https://www.dictionary.com/browse/x-rated
x-ray,https://www.dictionary.com/browse/x-ray
x-ray astronomy,https://www.dictionary.com/browse/x-ray-astronomy
x-ray binary,https://www.dictionary.com/browse/x-ray-binary
x-ray binary star,https://www.dictionary.com/browse/x-ray-binary-star
x-ray burster,https://www.dictionary.com/browse/x-ray-burster
x-ray crystallography,https://www.dictionary.com/browse/x-ray-crystallography
x-ray diffraction,https://www.dictionary.com/browse/x-ray-diffraction
x-ray microscope,https://www.dictionary.com/browse/x-ray-microscope
x-ray photograph,https://www.dictionary.com/browse/x-ray-photograph
x-ray spectrometer,https://www.dictionary.com/browse/x-ray-spectrometer
x-ray spectrometry,https://www.dictionary.com/browse/x-ray-spectrometry
x-ray star,https://www.dictionary.com/browse/x-ray-star
x-ray technician,https://www.dictionary.com/browse/x-ray-technician
x-ray therapy,https://www.dictionary.com/browse/x-ray-therapy
x-ray tube,https://www.dictionary.com/browse/x-ray-tube
x-stretcher,https://www.dictionary.com/browse/x-stretcher
x-unit,https://www.dictionary.com/browse/x-unit
x-wave,https://www.dictionary.com/browse/x-wave
xanadu,https://www.dictionary.com/browse/xanadu
xanax,https://www.dictionary.com/browse/xanax
xanth-,https://www.dictionary.com/browse/xanth-
xanthan,https://www.dictionary.com/browse/xanthan
xanthan gum,https://www.dictionary.com/browse/xanthan--gum
xanthans,https://www.dictionary.com/browse/xanthans
xanthate,https://www.dictionary.com/browse/xanthate
xanthe,https://www.dictionary.com/browse/xanthe
xanthein,https://www.dictionary.com/browse/xanthein
xanthelasma,https://www.dictionary.com/browse/xanthelasma
xanthemia,https://www.dictionary.com/browse/xanthemia
xanthene,https://www.dictionary.com/browse/xanthene
xanthene dye,https://www.dictionary.com/browse/xanthene-dye
xanthian,https://www.dictionary.com/browse/xanthian
xanthic,https://www.dictionary.com/browse/xanthic
