word,link
y,https://www.dictionary.com/browse/y
y cartilage,https://www.dictionary.com/browse/y-cartilage
y chromosome,https://www.dictionary.com/browse/y--chromosome
y connection,https://www.dictionary.com/browse/y-connection
y'all,https://www.dictionary.com/browse/y-all
y-,https://www.dictionary.com/browse/y-
y-axis,https://www.dictionary.com/browse/y-axis
y-chromosome,https://www.dictionary.com/browse/y-chromosome
y-fronts,https://www.dictionary.com/browse/y-fronts
y-level,https://www.dictionary.com/browse/y-level
y-linked gene,https://www.dictionary.com/browse/y-linked-gene
y-shaped ligament,https://www.dictionary.com/browse/y-shaped-ligament
y.,https://www.dictionary.com/browse/y--
y.b.,https://www.dictionary.com/browse/y-b-
y.c.l.,https://www.dictionary.com/browse/y-c-l-
y.m.cath.a.,https://www.dictionary.com/browse/y-m-cath-a-
y.o.,https://www.dictionary.com/browse/y-o-
y.o.b.,https://www.dictionary.com/browse/y-o-b-
y.p.s.c.e.,https://www.dictionary.com/browse/y-p-s-c-e-
y.t.,https://www.dictionary.com/browse/y-t-
y2k,https://www.dictionary.com/browse/y2k
ya,https://www.dictionary.com/browse/ya
ya-ta-ta,https://www.dictionary.com/browse/ya-ta-ta
yaaas,https://www.dictionary.com/browse/yaaas
yaar,https://www.dictionary.com/browse/yaar
yaba,https://www.dictionary.com/browse/yaba
yabba,https://www.dictionary.com/browse/yabba
yabber,https://www.dictionary.com/browse/yabber
yabby,https://www.dictionary.com/browse/yabby
yablonovy mountains,https://www.dictionary.com/browse/yablonovy-mountains
yablonovyy range,https://www.dictionary.com/browse/yablonovyy-range
yacca,https://www.dictionary.com/browse/yacca
yacht,https://www.dictionary.com/browse/yacht
yacht chair,https://www.dictionary.com/browse/yacht-chair
yacht club,https://www.dictionary.com/browse/yacht-club
yachtie,https://www.dictionary.com/browse/yachtie
yachting,https://www.dictionary.com/browse/yachting
yachtsman,https://www.dictionary.com/browse/yachtsman
yachtswoman,https://www.dictionary.com/browse/yachtswoman
yack,https://www.dictionary.com/browse/yack
yacker,https://www.dictionary.com/browse/yacker
yackety-yak,https://www.dictionary.com/browse/yackety-yak
yacking,https://www.dictionary.com/browse/yacking
yad,https://www.dictionary.com/browse/yad
yad vashem,https://www.dictionary.com/browse/yad-vashem
